Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
2016-06-02,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,,http://droom.in/
2016-06-02,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,1000000.0,http://atomberg.com/
2016-06-02,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,,https://getvisitapp.com/#1
2016-06-02,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,1000000.0,https://www.limoapp.in/
2016-06-01,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,,http://www.bridgei2i.com/
2016-06-01,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,,
2016-05-31,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000.0,http://www.CCavenue.com
2016-05-31,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,175000.0,http://www.Machadalo.com
2016-05-31,Tpot,Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,,http://www.tpot.in/
2016-05-31,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,4400000.0,http://www.koovs.com
2016-05-31,1mg,eCommerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,,https://www.1mg.com/
2016-05-31,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,,
2016-05-30,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,200000.0,
2016-05-27,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,,
2016-05-26,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,475000.0,http://m.mchamp.in/
2016-05-26,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,,http://consuremedical.com/
2016-05-26,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,2000000.0,https://cleartax.in/
2016-05-25,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,100000.0,http://arcatron.com/
2016-05-25,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,1500000.0,http://www.addresshealth.in/web/index.php/home
2016-05-25,SheThePeople,Consumer Internet,Digital platform for Women,New Delhi,Anand Mahindra,Seed Funding,,http://shethepeople.tv/
2016-05-25,Roast,Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,,
2016-05-24,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,,
2016-05-24,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,1000000.0,https://www.goalwise.com/
2016-05-23,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,,https://edurev.in/
2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,89000.0,https://www.hoppingo.com/
2016-05-20,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,300000.0,https://www.i2ifunding.com/
2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,500000.0,https://twitter.com/veqta_sports
2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,500000.0,http://taxivaxi.com/
2016-05-19,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,,http://Niki.ai
2016-05-19,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0,
2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,100000.0,http://www.PurpleHealth.com
2016-05-18,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,10000000.0,http://www.edupristine.com/
2016-05-18,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,,http://www.fundamentor.com/
2016-05-18,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,250000.0,https://www.thesmartq.com/
2016-05-18,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,,https://mailtrack.io/trace/link/a7e84ed6c24cc7c76ee9e877852bfea0f6e6c536?url=http%3A%2F%2Fgm.ag%2Fx%2Fc%3Fc%3D214075%26l%3Dc6eeb22a-d72c-43e3-a708-b7c040fe3691%26r%3Da4754f51-c80c-4416-8fe4-df48afe7641d&signature=16964fa3e876145f
2016-05-18,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,1000000.0,http://bhiveworkspace.com/
2016-05-17,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,,https://crownit.in/
2016-05-17,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,,http://murgency.com/
2016-05-17,Blinge,eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,,
2016-05-16,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,,
2016-05-16,Smartivity,eCommerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000.0,http://www.smartivity.in/
2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000.0,
2016-05-13,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000.0,http://www.wowexpress.in/
2016-05-12,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,,https://www.dreamwallets.com/
2016-05-12,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0,https://unacademy.in/
2016-05-12,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0,http://www.capitalfloat.com/
2016-05-12,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000.0,https://www.lifecircle.in/
2016-05-12,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,,http://www.shabdanagari.in/
2016-05-12,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,,https://galleri5.com/
2016-05-12,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,,https://derbii.com/
2016-05-11,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0,http://www.fractalanalytics.com/
2016-05-11,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,,http://Faircent.com
2016-05-11,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,900000.0,http://Zenify.in
